timestamp,log exp request recency,log request recency,gdsf,log time recency,number of observations,time recency,log bhr,exp request recency,log gdsf,exp time recency,request recency,frequency,entropy,log size,size,log exp time recency,log frequency
1422691638,6.81892823387,6.26992668974,7348.75956346,2.47041149627,1905701.88633,270.994517948,17.3027661452,197212.808246,0.874642608155,277.751635286,180368.288572,0.0145099689398,12.1754660113,9.08870437668,343418.23159,2.61346937541,7.17482889239
1422691698,6.96449086502,6.36314106567,6686.73099272,2.42427588651,1768810.66063,269.175605471,17.4029975904,190199.156699,0.984159234821,270.647288686,179479.312837,0.0134636336654,12.2098041235,9.19357841262,339846.706287,2.61670441227,7.28557641933
1422691758,6.89485458579,6.35653456951,7894.15032254,2.5522155177,1864153.85752,327.531267236,17.2181109351,224539.883128,1.04174582402,318.934384921,218235.240053,0.0141850892188,12.2618880919,9.12992837958,337647.817518,2.68162592711,7.21256132406
1422691818,7.03225268264,6.58074573424,7810.93834747,2.74168690501,1910354.3547,402.100294093,17.2660333339,229045.076332,1.20248268525,325.60387351,266415.328807,0.0145325507649,12.2963863425,9.23425800958,329726.699365,2.78213589286,7.24150597713
1422691878,7.09735706787,6.53894959453,7498.17235464,2.5735513286,1762197.16016,306.378894814,17.4128992255,196366.092114,1.11889960802,278.671231288,202228.7735,0.0134016988364,12.3021496105,9.26589941677,302060.003372,2.7339503696,7.32270063903
1422691938,7.14363035081,6.57949410613,6638.68336151,2.57248924522,1605347.24028,310.339839453,17.0895649798,205388.136822,1.55200150656,291.248984733,205919.948606,0.012205062375,12.3310102038,9.32078324318,441599.463315,2.74668495241,7.47829040992
1422691998,6.91429649394,6.39226544571,7597.39960032,2.52895676462,1752960.80486,309.543319283,17.0631403595,209039.465421,1.36051181049,298.474117179,206267.045376,0.0133231517136,12.4050774008,9.21182608502,507399.125844,2.64993195588,7.35917051133
1422692058,6.93995450676,6.35577281248,7416.98289154,2.44744838164,1790552.6526,266.650258342,17.2616935192,195308.869195,1.16330661536,277.930700936,177575.369264,0.0136048359255,12.4559774848,9.21250006729,498753.054952,2.62263890345,7.31288932017
1422692118,7.06396388055,6.5498003281,7603.18850159,2.57468618033,1771352.0808,280.16813519,17.3833027435,185238.478772,1.10445880092,263.930748872,186205.59846,0.0134548873614,12.4579622077,9.24388077221,575252.797215,2.68979682245,7.33211136281
1422692178,6.88081096525,6.34777479717,7102.34402353,2.55507423539,1821278.6699,328.332592989,17.2819659115,217483.459341,1.15948856323,311.150264776,217513.356864,0.0138302033665,12.4630426733,9.22072723739,503309.033503,2.66043392883,7.24697721144
1422692238,6.851581998,6.30567776492,7008.6759449,2.48234432804,1652957.27794,282.99401391,17.2026588117,195589.436496,1.39024668899,279.972475822,187320.269523,0.0125483317318,12.5012621386,9.29645275032,393722.892822,2.62398351169,7.33824401749
1422692298,7.070827764,6.5337484907,6640.84136711,2.60847116301,1703362.21012,333.505741242,17.0195980744,222373.542481,1.58172645306,316.545726477,221769.053292,0.0129270412724,12.5417322217,9.30066226375,468973.392867,2.74549078248,7.39441715483
1422692358,6.48655033113,5.96765729571,6501.33401247,2.37611456686,1840786.5779,308.74008888,17.0347306977,225081.368166,1.49223821649,321.912386044,205716.104472,0.0139655154606,12.5868098371,9.26348445711,347502.974114,2.478248597,7.24600437977
1422692418,7.0761957668,6.56077322599,6233.43670096,2.61882265075,1728029.09594,332.063864342,17.1302953723,225209.194282,1.42953676692,320.060988541,220694.095534,0.0131060455894,12.5972585312,9.27991606963,298045.126582,2.74720144655,7.36399772746
1422692478,6.80636559087,6.29551242344,6664.84653362,2.50600938823,1869321.1323,319.143233948,17.406304047,216301.57138,1.24981089946,309.273319239,212891.269711,0.0141733067666,12.6079270461,9.32805747325,545261.845647,2.61248262255,7.22829202837
